,activityID,LocationID
361,16,49
362,8,49
363,19,49
364,17,49
365,1,49
366,18,50
367,0,51
368,18,51
369,16,51
370,8,51
371,0,52
372,18,52
373,16,52
374,8,52
375,19,52
376,17,52
377,0,54
378,2,54
379,3,54
380,18,54
381,15,54
382,7,54
383,16,54
384,12,54
385,8,54
386,19,54
387,1,54
388,0,55
389,18,55
390,8,55
391,0,56
392,4,56
393,3,56
394,11,56
395,14,56
396,18,56
397,15,56
398,7,56
399,16,56
400,8,56
401,19,56
402,17,56
403,1,56
404,0,57
405,3,57
406,18,57
407,15,57
408,7,57
409,16,57
410,8,57
411,13,57
412,1,57
413,0,58
414,4,58
415,11,58
416,18,58
417,15,58
418,7,58
419,16,58
420,8,58
421,19,58
422,0,59
423,2,59
424,18,59
425,15,59
426,7,59
427,16,59
428,8,59
429,19,59
430,1,59
431,4,60
432,3,60
433,18,60
434,15,60
435,7,60
436,16,60
437,12,60
438,8,60
439,13,60
440,1,60
441,0,61
442,4,61
443,3,61
444,9,61
445,18,61
446,15,61
447,7,61
448,16,61
449,8,61
450,17,61
451,0,62
452,4,62
453,3,62
454,5,62
455,9,62
456,14,62
457,18,62
458,15,62
459,7,62
460,16,62
461,8,62
462,19,62
463,17,62
464,1,62
465,0,63
466,4,63
467,3,63
468,9,63
469,11,63
470,18,63
471,15,63
472,7,63
473,16,63
474,8,63
475,19,63
476,17,63
477,1,63
478,0,64
479,4,64
480,3,64
481,5,64
482,18,64
483,15,64
484,7,64
485,16,64
486,8,64
487,19,64
488,17,64
489,1,64
490,0,65
491,4,65
492,3,65
493,9,65
494,18,65
495,15,65
496,7,65
497,16,65
498,8,65
499,19,65
500,17,65
501,1,65
502,4,67
503,3,67
504,5,67
505,9,67
506,18,67
507,15,67
508,6,67
509,7,67
510,16,67
511,8,67
512,13,67
513,17,67
514,18,68
515,18,69
516,15,69
517,8,69
518,19,69
519,0,70
520,4,70
521,3,70
522,18,70
523,15,70
524,7,70
525,16,70
526,8,70
527,19,70
528,17,70
529,1,70
530,18,71
531,8,71
532,0,72
533,4,72
534,3,72
535,18,72
536,15,72
537,7,72
538,16,72
539,8,72
540,19,72
541,17,72
542,4,73
543,3,73
544,5,73
545,9,73
546,11,73
547,18,73
548,15,73
549,7,73
550,16,73
551,8,73
552,19,73
553,17,73
554,1,73
555,0,74
556,4,74
557,9,74
558,10,74
559,11,74
560,18,74
561,15,74
562,7,74
563,16,74
564,8,74
565,17,74
566,1,74
567,0,75
568,14,75
569,18,75
570,7,75
571,16,75
572,8,75
573,0,76
574,2,76
575,4,76
576,3,76
577,5,76
578,9,76
579,10,76
580,11,76
581,14,76
582,18,76
583,15,76
584,7,76
585,16,76
586,8,76
587,19,76
588,17,76
589,1,76
590,0,77
591,2,77
592,4,77
593,3,77
594,5,77
595,9,77
596,11,77
597,18,77
598,15,77
599,6,77
600,7,77
601,16,77
602,8,77
603,19,77
604,17,77
605,1,77
606,0,78
607,4,78
608,3,78
609,5,78
610,9,78
611,18,78
612,15,78
613,7,78
614,16,78
615,8,78
616,19,78
617,17,78
618,1,78
619,0,80
620,4,80
621,3,80
622,5,80
623,9,80
624,11,80
625,14,80
626,18,80
627,15,80
628,7,80
629,16,80
630,8,80
631,19,80
632,17,80
633,1,80
634,18,82
635,4,83
636,3,83
637,5,83
638,9,83
639,11,83
640,18,83
641,15,83
642,7,83
643,16,83
644,8,83
645,19,83
646,17,83
647,1,83
648,3,85
649,18,85
650,15,85
