latitude,longitude,act1,act2,act3,act4,act5
3.1516964,101.6942371,ziplining,hiking,hot_air_balloons,tours,massage
12.51756625,-69.98186415210564,ziplining,tours,beaches,,
13.1500331,-59.52503050000001,ziplining,,,,
13.3617562,103.8590321,ziplining,,,,
13.7524938,100.4935089,ziplining,,,,
13.8250489,-60.975035999999996,ziplining,,,,
14.5948914,120.9782618,ziplining,massage,sailing,tours,hiking
15.2214956,145.73848569999996,ziplining,massage,tours,beaches,
17.0604663,-96.7253575,ziplining,beaches,massage,tours,hiking
17.223472100000002,-61.9554608,beaches,ziplining,,,
17.964098800000006,102.6133707,ziplining,,,,
18.185050699999998,-77.3947693,ziplining,,,,
18.788277800000003,98.9858802,ziplining,,,,
19.0785451,72.878176,ziplining,,,,
19.4326296,-99.1331785,tours,massage,ziplining,hot_air_balloons,horsebackriding
20.169626800000003,-87.44979005748026,tours,snorkeling,sailing,beaches,massage
21.1617854,-86.8510468,tours,massage,snorkeling,ziplining,sailing
24.4538352,54.3774014,ziplining,,,,
25.0375198,121.5636796,massage,hiking,ziplining,hotsprings,beaches
25.7741728,-80.19362,beaches,paddleboarding,snorkeling,sailing,horsebackriding
25.7929198,-80.1353006,beaches,snorkeling,paddleboarding,sailing,horsebackriding
27.7635302,-97.4033191,parasailing,horsebackriding,beaches,ziplining,tours
29.7589382,-95.3676974,paddleboarding,hiking,horsebackriding,beaches,tours
29.9759983,-90.0782127,massage,paddleboarding,hiking,tours,ziplining
30.2711224,-87.68938259999999,snorkeling,tours,ziplining,sailing,parasailing
30.2711286,-97.7436995,paddleboarding,hiking,snorkeling,horsebackriding,hot_air_balloons
32.079007399999995,-81.0921335,parasailing,hiking,paddleboarding,massage,beaches
32.7174202,-117.16277279999998,hanggliding,beaches,snorkeling,hot_air_balloons,hiking
32.7762719,-96.7968559,hiking,tours,horsebackriding,paddleboarding,ziplining
33.448436699999995,-112.074141,hot_air_balloons,horsebackriding,hiking,paddleboarding,tours
33.4942189,-111.92601840000002,horsebackriding,hot_air_balloons,hiking,paddleboarding,tours
33.77217945,-116.49529769683984,paddleboarding,hot_air_balloons,horsebackriding,hiking,tours
34.0536909,-118.242766,parasailing,hot_air_balloons,snorkeling,paddleboarding,sailing
34.244058700000004,-116.91018,paddleboarding,hot_air_balloons,hiking,hanggliding,tours
34.6937569,135.5014539,ziplining,hiking,hotsprings,tours,massage
34.862942600000004,-111.8137097,hot_air_balloons,horsebackriding,massage,hiking,ziplining
35.021041,135.7556075,hiking,ziplining,horsebackriding,hotsprings,tours
35.60094979999999,-82.5540161,massage,hiking,tours,paddleboarding,horsebackriding
35.6812665,139.757653,tours,hotsprings,massage,ziplining,beaches
35.89898179999999,14.5136759,ziplining,,,,
36.1672559,-115.148516,paddleboarding,hot_air_balloons,hiking,tours,horsebackriding
36.4071112,25.45666365270716,ziplining,,,,
36.508976,-4.8856199999999985,ziplining,beaches,tours,hiking,massage
36.7213028,-4.4216365999999985,hiking,ziplining,tours,beaches,massage
37.0162727,-7.9351771,ziplining,horsebackriding,beaches,tours,massage
37.2395367,-107.82158179169292,tours,ziplining,massage,horsebackriding,paddleboarding
37.3886303,-5.9953403,ziplining,massage,hiking,tours,horsebackriding
37.7790262,-122.419906,hot_air_balloons,beaches,snorkeling,paddleboarding,hanggliding
37.9374939,-107.812285,hotsprings,tours,massage,ziplining,paddleboarding
38.0464066,-84.4970393,tours,paddleboarding,horsebackriding,ziplining,hiking
