latitude,longitude,act_1,act_2,act_3,act_4,act_5
53.546205500000006,-113.491241,massage,ziplining,tours,beaches,snorkeling
53.550341,10.000654,tours,massage,beaches,ziplining,hiking
54.596391,-5.9301829,tours,ziplining,beaches,massage,sailing
54.97384739999999,-1.6131572,ziplining,beaches,massage,tours,horsebackriding
55.3997225,10.3852104,ziplining,beaches,horsebackriding,hiking,sailing
55.6867243,12.5700724,tours,ziplining,beaches,hiking,massage
55.86061820000001,-4.2497932999999986,ziplining,tours,massage,beaches,hiking
55.9533456,-3.1883749,tours,hiking,ziplining,massage,beaches
59.3251172,18.0710935,ziplining,tours,massage,beaches,horsebackriding
59.4372155,24.7453688,massage,,,,
59.9133301,10.7389701,ziplining,hiking,tours,beaches,massage
60.16748810000001,24.9427473,ziplining,beaches,massage,tours,paddleboarding
60.39430550000001,5.3259192,ziplining,hiking,tours,massage,horsebackriding
