,LocationID,April,May,June,July,August,September,October,November,December,January,February,March
128,128,55.4,64.4,75.2,77.0,73.4,71.6,59.0,48.2,39.2,41.0,48.2,42.8
129,129,39.2,48.2,59.0,60.8,69.8,51.8,50.0,42.8,21.2,35.6,33.8,30.2
130,130,46.4,57.2,60.8,62.6,73.4,59.0,53.6,46.4,26.6,41.0,42.8,41.0
131,131,57.2,68.0,77.0,82.4,80.6,77.0,68.0,62.6,57.2,53.6,50.0,55.4
132,132,41.0,46.4,55.4,62.6,69.8,62.6,60.8,37.4,32.0,41.0,35.6,39.2
133,133,55.4,71.6,78.8,84.2,77.0,69.8,64.4,51.8,37.4,41.0,44.6,51.8
134,134,41.0,50.0,57.2,69.8,73.4,68.0,66.2,41.0,37.4,42.8,39.2,42.8
135,135,55.4,68.0,75.2,78.8,78.8,73.4,68.0,60.8,55.4,53.6,50.0,53.6
136,136,80.6,80.6,80.6,84.2,82.4,82.4,82.4,78.8,78.8,75.2,75.2,78.8
137,137,53.6,62.6,66.2,69.8,75.2,60.8,55.4,50.0,30.2,42.8,46.4,46.4
138,138,50.0,53.6,57.2,62.6,62.6,57.2,51.8,51.8,37.4,42.8,48.2,42.8
139,139,55.4,69.8,75.2,77.0,77.0,66.2,62.6,53.6,35.6,41.0,42.8,50.0
140,140,60.8,69.8,80.6,84.2,84.2,80.6,71.6,64.4,57.2,55.4,50.0,59.0
141,141,62.6,60.8,55.4,55.4,53.6,53.6,57.2,62.6,64.4,66.2,66.2,64.4
142,142,53.6,60.8,66.2,73.4,73.4,60.8,55.4,51.8,32.0,42.8,46.4,46.4
143,143,41.0,51.8,60.8,60.8,71.6,53.6,50.0,44.6,21.2,37.4,35.6,32.0
144,144,84.2,86.0,84.2,82.4,80.6,82.4,82.4,82.4,80.6,77.0,80.6,80.6
145,145,46.4,62.6,66.2,68.0,69.8,57.2,57.2,44.6,24.8,39.2,39.2,42.8
146,146,50.0,62.6,66.2,73.4,69.8,68.0,57.2,46.4,35.6,37.4,41.0,37.4
147,147,26.6,48.2,57.2,64.4,69.8,59.0,50.0,17.6,10.399999999999999,23.0,26.6,15.8
148,148,59.0,66.2,75.2,80.6,78.8,73.4,68.0,60.8,46.4,50.0,48.2,57.2
149,149,51.8,64.4,68.0,69.8,75.2,59.0,55.4,50.0,30.2,42.8,44.6,44.6
150,150,51.8,64.4,68.0,69.8,75.2,59.0,55.4,50.0,30.2,42.8,44.6,44.6
151,151,51.8,64.4,68.0,69.8,75.2,59.0,55.4,50.0,30.2,42.8,44.6,44.6
152,152,51.8,64.4,68.0,69.8,75.2,59.0,55.4,50.0,30.2,42.8,44.6,44.6
153,153,50.0,60.8,62.6,66.2,73.4,60.8,53.6,50.0,32.0,42.8,44.6,44.6
154,154,50.0,64.4,68.0,73.4,71.6,64.4,59.0,51.8,46.4,42.8,39.2,44.6
155,155,87.8,86.0,95.0,96.8,98.6,93.2,86.0,82.4,73.4,69.8,71.6,80.6
156,156,37.4,48.2,59.0,60.8,68.0,53.6,50.0,42.8,21.2,35.6,33.8,30.2
157,157,51.8,66.2,69.8,69.8,75.2,60.8,57.2,48.2,26.6,42.8,42.8,44.6
158,158,87.8,80.6,82.4,82.4,80.6,78.8,73.4,80.6,69.8,75.2,82.4,84.2
159,159,50.0,64.4,69.8,69.8,73.4,59.0,59.0,48.2,26.6,41.0,41.0,44.6
160,160,48.2,60.8,64.4,64.4,75.2,59.0,55.4,48.2,26.6,41.0,44.6,42.8
161,161,42.8,53.6,60.8,62.6,69.8,59.0,55.4,50.0,32.0,41.0,41.0,37.4
162,162,46.4,62.6,66.2,66.2,75.2,59.0,55.4,46.4,24.8,42.8,42.8,42.8
163,163,51.8,60.8,64.4,68.0,73.4,60.8,55.4,50.0,32.0,42.8,44.6,46.4
164,164,46.4,44.6,39.2,44.6,44.6,46.4,46.4,50.0,48.2,48.2,46.4,46.4
165,165,41.0,60.8,62.6,68.0,66.2,62.6,48.2,35.6,26.6,17.6,28.4,30.2
166,166,48.2,53.6,55.4,62.6,60.8,53.6,50.0,50.0,30.2,39.2,42.8,37.4
167,167,42.8,51.8,60.8,62.6,68.0,53.6,46.4,41.0,14.0,30.2,32.0,23.0
168,168,48.2,51.8,55.4,60.8,62.6,51.8,48.2,50.0,28.4,37.4,42.8,37.4
169,169,48.2,51.8,55.4,62.6,62.6,55.4,50.0,51.8,35.6,39.2,46.4,41.0
170,170,44.6,60.8,64.4,64.4,66.2,55.4,53.6,44.6,26.6,35.6,37.4,39.2
171,171,50.0,62.6,68.0,69.8,68.0,59.0,57.2,44.6,26.6,37.4,37.4,42.8
172,172,51.8,64.4,69.8,71.6,71.6,60.8,57.2,48.2,33.8,35.6,41.0,42.8
173,173,59.0,66.2,75.2,80.6,84.2,80.6,73.4,69.8,66.2,60.8,55.4,59.0
